#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
快適,かいてき,"comfortable, pleasant",AvoybMKOzRFQ7GRtcwTx
時刻,じこく,Time,Avwmhu0iWDi7ZdkOyLbB
一瞬,いっしゅん,"a moment, an instant",Axb2HzCAAs0qpJ2SEQ29
衣料,いりょう,Clothing,Ayn2vU0PZD75oEwNWEnf
暖める,あたためる,warm up,B1WofYedHatzTRpJSdav
規制,きせい,regulation,B6124mUoNzwIce5jrISh
棒,ぼう,"Pole, rod, stick",B8YdFxMKCiKc3UlfuUft
引退,いんたい,Retirement,BCrnylnIXu2Nncs3sik8
料金,りょうきん,"fee, charge, fare",BESCw0qDs377pTOqyJO5
技師,ぎし,"engineer, technician",BGV1AmsiiyIv9xHofDcL
チャイム,チャイム,Chime,BMSdGX1B5VuMcOiJgiR9
震える,ふるえる,"shiver, shake, quake",BNCoXTSmsRDHaVizBhje
自己,じこ,self,BPF7Kas5jTGv8FtVNpo6
同志,どうし,"Comrade, kindred soul",BQziMyNZOt1vSyEdavvw
迷惑,めいわく,"Trouble, bother, annoyance",BVIo6wJueMeTRYTsY3L0
修正,しゅうせい,"amendment, correction",BW59Q1Z25DaedpgmjFar
鍋,なべ,"Saucepan, pot",BX8aGXinyonXmtUSNb4o
そっくり,そっくり,spitting image,BXpQ1nSfjRzZbtatz5ax
現在,げんざい,Present,BYw9V8rTHvzTTlGlh3Xm
贅沢,ぜいたく,"Luxury, extravagance",BZyC55gjZIQQDscYmVTF
気体,きたい,"Gas, Vapor",Ba1xYxEJNoMkk1rH0FeV
立ち上がる,たちあがる,Stand up,BaQaLa3GsiVTSTSpbE0x
溶ける,とける,"melt, thaw, dissolve",BaTJkvuKbq0VgWGOH3Am
今に,いまに,"Before long, soon",BaUqV21N5Oc3432h3i1z
集団,しゅうだん,"group, mass",BeUKwJMsudlMRIgNS8qO
宝石,ほうせき,"gem, jewel",BfC3at8HqKz5jidxm2lB
論文,ろんぶん,"thesis, paper",BfWoT9THyeY0nalaP6xy
ジーンズ,ジーンズ,Jeans,BnBykQAGq6APvCjU7IFc
代表,だいひょう,representative,BnigcKK3re6IOSmV6e54
すれ違う,すれちがう,pass by one another,BsvaqfHtUUBmEiblXDf5
援助,えんじょ,"assistance, aid, support",BtN4Q9zfAXk8lVOknLsV
堅い,かたい,"Hard, firm, solid",Bu1Y9lAa3rlk1FOPY2j6
何で,なんで,Why,BuJusCDPj5OlanCSbvgo
考慮,こうりょ,"Consideration, taking into account",BuVNC98Dsba3zEpkUyOx
減る,へる,"Decrease, diminish",BujwiiPX6Z8Oz8GVQ0E0
睡眠,すいみん,Sleep,BxJHpW20sX6uuPIiLoHu
深まる,ふかまる,Deepen,BypWsXmwQiZFsVvZmEZ3
出版,しゅっぱん,Publication,C1MsYd3oicJr24bcovm4
生涯,しょうがい,Lifetime,C38ecUipoMC40XICzMsP
悪魔,あくま,"devil, demon, evil spirit",C3VzhsX7bVGpwb6UxjTt
芝生,しばふ,Lawn,C3eylztVqUbEgme9empD
仮定,かてい,"Assumption, supposition, hypothesis",C6VgQjzNF3CVZRJ3rUsN
遭う,あう,encounter,CAYJwGOZyhy3SsoCvWdM
完全,かんぜん,"Perfection, completeness",CGCiFdlEqiV0pMy9FMWV
派手,はで,"Showy, flashy, gaudy",CJVxlyYNo9fZYw0Ma5Yi
専攻,せんこう,major subject,CJhezlcbMfK3Y4GQmllq
放れる,はなれる,"Leave, get free, cut oneself off",CK95Y4tFwksARNMprb1x
のんびり,のんびり,"carefree, at leisure",CMa1GTWOTCSNghAJEMna
同僚,どうりょう,"colleague, co-worker",COx1CSPph8JpPtgMlrTO
悪,あく,"evil, vice",CP16dWeDvhqltEXDDzSn
贈る,おくる,"Present, give, award",CUgyBk02z0P2d377kavp
演奏,えんそう,Performance,CX7dVzspnc86ORu4NjGc
破る,やぶる,"Tear, violate, defeat",CX95h3YfQNrnZIICXzzm
有機,ゆうき,Organic,CXs8iwestXdvgZEXt139
管,かん,"Pipe, tube",CZroEExGOCYJ4OeqtNX9
分かれる,わかれる,"branch off, diverge from",Cd4ULgefprezYreTpQAf
円,まる,"Circle, Yen",CdWlptlhQfYzcTfPqlmY
穴,あな,Hole,CgPWyPufnp99S1YKaH0H
注ぐ,つぐ,pour,CjTGjmLXquFnCwaKnKFr
以前,いぜん,"In the past, before",CkDcwE7agk7Z9tP7i3Ig
承認,しょうにん,"Recognition, Approval",Cki54HHm4tQb9Sz6jBC7
だが,だが,"However, but",Clgk1XsmnxN6TzAPxhQE
きつい,きつい,"Tight, close, intense",CmoFahMENluEcgyBbozU
省く,はぶく,"Omit, eliminate",CmrXOHkF9X8KPRGksrGJ
建築,けんちく,"Architecture, Construction",Co7JWjUEsXKupHSwYU4w
苦しむ,くるしむ,"Suffer, groan, be worried",CqitI98zPkGA9zCIMdU6
感じ,かんじ,"feeling, sense, impression",CqlCvJh6C5yuo0l0mAEY
分,ぶん,"Division, part",Cqu67rDjeQ5BQGLI0zBc
局,きょく,"Bureau, Office, Station",CwnOvzIl2hVDs6qVSWoz
高まる,たかまる,"rise, grow, mount",CzQ6ijlu2l5hd4DAnRuZ
行動,こうどう,"action, conduct, behavior",D13W55waiazN7lMoVTTk
盛り,さかり,Serving,D1QvAT9WY3MyG9TMivkV
哲学,てつがく,philosophy,D1ecnl5uHpapnfXRNtMQ
作物,さくもつ,"Produce, crops",D2BGmOKem5S7fR3pCspe
主義,しゅぎ,"Doctrine, cause, principle",D2PpwaBaFlzHaBsQKJYV
保存,ほぞん,"Preservation, conservation",D5INJpQDSOUV1vouMO4D
超す,こす,"cross, pass, tide over",D6lSVoDs7DT8T734eIAr
手段,しゅだん,"means, way, measure",D8s5OqypO5pCi4UmYA1k
立場,たちば,"standpoint, position, situation",D9Re4W3NQ0wvA5YQ7o2O
脂,あぶら,Fat,DAqypm9kAX8Wrc3S2j8F
泉,いずみ,"Spring, fountain",DBs9dS31mmaECk0hjT0S
舌,した,tongue,DIjF2Yyo2Ja8GmgZHS9h
留学,りゅうがく,Study abroad,DNJBShGzGqdP1pE1H3uq
大半,たいはん,Majority,DQYxexydpPzDB5VGuPV8
皿,さら,Plate,DUlZ2N8FAJCY1Aimszd4
断る,ことわる,"Refuse, decline, dismiss",DVQzphfLbKj60xo7hq6C
名刺,めいし,Business card,DWl0XnMHePw5VT8YP7KE
予期,よき,"Expectation, forecast",DYGHjXqTnoMddblOyik8
論じる,ろんじる,"argue, discuss",DYbZ3GQrk2i5nUsKOT1p
単純,たんじゅん,Simplicity,DaPDP2xC1P1NJteTeNuO
灯,ひ,Light,DbfK2getBE6GwbZyig1p
したがって,したがって,"Therefore, consequently",Dd2E3nAtrKsEMmqj0zGS
祝い,いわい,Celebration,Deq4tVyCZ2OEQFhMoPJ9
石炭,せきたん,Coal,DfT7kwGKYNlB5nbo46Gw
演技,えんぎ,"acting, performance",DfVlLzobGm7SH7faocNp
限界,げんかい,limit,DfWpSvGCcY2lX0ztwjlu
職,しょく,Employment,DjWHx9E9ZPvVMU3fQANJ
反抗,はんこう,"opposition, resistance",Djt31FAyK3Nds5hv9Rb5
いわゆる,いわゆる,so-called,DktGtELIKlSPWBz2w5Mm
野党,やとう,Opposition party,DmBrgdZD3eK6jXTKTmAp
もしかすると,もしかすると,"Perhaps, maybe, by some chance",DsopP4lTWpJ264yYyfSW
平和,へいわ,Peace,DvMFpps8bqdS0Nloe6B3
粗,あら,"Defect, flaw, fault",DyGCZdXPO8nTuSHnafYX
生まれ,うまれ,"Birth, birthplace",DzBUK5I0JIH8YlZ9eGk7
問い,とい,"Question, query",E07dikhUu1lnFwBIhIm9
磁器,じき,porcelain,E1o04qirJamhoJpmC0HT
直ちに,ただちに,Immediately,E4YKqJQOuy8QK4s3CVho
調査,ちょうさ,"Survey, investigation",E5o94YDHaJhYsZ9tEpiI
パスポート,パスポート,passport,E6u6Mi39rsXkTCzBjpz5
望み,のぞみ,"wish, desire, hope",EBEc4ziWk1yRYQDcHMv6
一体,いったい,"one object/ˈɒbdʒɪkt/, body, what on earth?/wɒt//ɒn//ɜːθ/, generally",EC5mPvl9GwjZf7i5K9MP
打つ,ぶつ,"Hit, strike",EDvhJf5mIHhLHPTePAR6
感想,かんそう,"Impressions, thoughts",EEHo1MsqPfWLen5A7YUe
尤も,もっとも,Plausible,EEsmWMeFzW9pUaqha9uU
敵,てき,"Enemy, rival",EG9s71NfqJ8xkaaM8i7F
宝,たから,Treasure,EIXCWqRGUjKCHh1iJlQG
認める,みとめる,"Recognize, Notice, Approve",ENJg1s8jccX63G4P0ttJ
既に,すでに,Already,ENesSAIjiXBFPpVOD9IS
難,なん,"Difficulty, hardships, defect",ENmYNDI6SL3DLjIA0FTz
能力,のうりょく,"ability, faculty",ERHTfItdgArqAQdOCPbl
取り上げる,とりあげる,"take up, pick up; confiscate",ERsUv0aYC5VRSevH2bY6
中心,ちゅうしん,"center, core",ETMBcGMVL0yTcEkx7gIg
人間,にんげん,"Human being, person",ETP04gY0pyStkLEIR3dA
祝う,いわう,"Celebrate, congratulate",ETXAr07dwzyfLZQZYryb
現れ,あらわれ,"Manifestation, sign, indication",ETaqqmJFfV2IOv0oqnsN
いただきます,いただきます,I humbly receive.,ETj9CYjrLfoAk1U3UiyN
態度,たいど,"Attitude, manner",EW1IS6mdLH45gkkt2jIf
除く,のぞく,"remove, exclude, except",EZnI6ugvcsQRh96YHI3l
ホーム,ホーム,"Platform, Home",EcOzisGuuXTrCCWlzQ20
案外,あんがい,unexpectedly,EiCkjfqxwPRG0FMPHf5z
永久,えいきゅう,"eternity, perpetuity, immortality",Ek4UKfjXGstfuu8DuJF6
童謡,どうよう,"Children's song, nursery rhyme",ElQdeLoZnS82etMhbn6y
不満,ふまん,"dissatisfaction, discontent, complaints",EnTEFGPxUesLZ3v6G2JH
半ば,なかば,"Middle, halfway",EnzgCNDerd5jlOzWADZ4
痛み,いたみ,"pain, ache, sore",EqHjI99McUWAOzShKdoa
可能,かのう,"possible, practicable, feasible",ErKbC0zRwdJ2meI4dg2s
世,よ,"world, society, generation",Ev1rvN66C0qz5n8sqRAm
明後日,みょうごにち,The day after tomorrow,EvYU1MWJMx8UqlgqyDcx
瓶,びん,Bottle,F0XxapuckMngB8gvVqLG
日光,にっこう,Sunlight,F2XZAesfAntBphZf3Vjo
強力,きょうりょく,"Powerful, strong",F5KBKj3fLZcLSUQaE3Kl
同士,どうし,"Comrade, companion",F5jBEhqh0R1aYCA558IR
湿度,しつど,Humidity,F73cYmm11XLHXSoqLLRJ
うっかり,うっかり,"carelessly, inadvertently",F7ee9KHrSp2LXUT6Nl9Q
付合う,つきあう,"Associate with, keep company with, get on with",F7s3NkPV69r2nuOBDqHD
あらゆる,あらゆる,"All, every",F7yYGCUyorej9Mt2rHDt
まあ,まあ,Well,F9I1do9xasSwXLjtWfKs
正規,せいき,"regular, legitimate",FAfIne8mmCm2t3c3ZdgN
器用,きよう,"Skillful, handy",FECV7fYedKLvhIcFn8eC
割る,わる,"divide, break",FIFp1ewqENYbHnXazmaQ
遂に,ついに,"Finally, at last",FJenPHXJzj9l8crq73Fl
笛,ふえ,"flute, whistle",FK8alH1nEpGk3IXkr44k
要求,ようきゅう,"Request, Demand",FLc4nrpAD8TwFq4CHYiT
作業,さぎょう,"Work, Operation, Manufacturing",FPiefFa0ixcTPnfUuYPA
節約,せつやく,"Saving, economizing",FPmV5rPdUot2HicCJGYK
何でも,なんでも,Anything,FQCMJ47C0AqS29ZVwmFQ
岩,いわ,Rock,FQbmHs40hBVj1lV9U7Er
オフィス,オフィス,Office,FRZvhcuev8mpTTU4TgkM
小麦,こむぎ,wheat,FRg9e0uIeqiegVvPwH8c
緊張,きんちょう,"Tension, mental strain, nervousness",FSvTVNryPcoBxo2FDhNV
マッサージ,マッサージ,Massage,FT9nLgBBXIfrh9I8ECWa
挿す,さす,"insert, put in, graft",FaPXTxaxWR5NricLndA3
公正,こうせい,"Fairness, justice, impartiality",FaxnqCKn74CW9K4V6IxO
対照,たいしょう,"Contrast, antithesis, comparison",FbBMZBLzuurMBbzQTewk
遅れ,おくれ,"Delay, lag",FbNVdMqfx5LRjqnvSQi7
支出,ししゅつ,"Expenditure, expenses",FdXVnPnWfJBXDwxJjoAb
従兄弟,いとこ,Cousin,FdY6igcyTtNo7lizdOvK
公平,こうへい,"Fairness, impartiality, justice",FeEB2JQI7nZIuGYidXJq
プラスチック,プラスチック,Plastic,FhFyQ9Px0QvWqy0tsIMZ
埃,ほこり,Dust,FiHT3C7lk9451YtQJQCz
一生,いっしょう,A lifetime,FjyV2yQpvNBflPnV5X98
団体,だんたい,"Organization, association",FlR7O5nlvLTYB8ksSlRv
裁判,さいばん,"Trial, Judgment",FsSAVGMpv5HFcsV2YqH4
列車,れっしゃ,Train,Fu0kao40zO4gC2IouMdc
裸,はだか,naked,Fuj330azNA02Qk9ejH4c
陽気,ようき,Cheerful weather,FutSBrdxbnZIo0GcDmow
ほぼ,ほぼ,"almost, roughly",Fv3yuDJxaQD1Do3CCRU7
混乱,こんらん,"chaos, confusion, mayhem",Fx8sRIXeiYgPV0ADe5Iy
検査,けんさ,"Inspection, examination",G0EeF0x6pjfJFlOZurng
ヨーロッパ,ヨーロッパ,Europe,G0KoLq64Jmh88GqWTJIB
束,たば,"Bunch, bundle",G162ziAX1smHFUT8Q3sf
画家,がか,Painter,G8Hinwsvn2lL9KyUPn8m
注す,さす,Pour,GEr5DemF3AvwicZy6tYZ
申し込む,もうしこむ,Apply for,GG4PUhnnnYhz0oIICNOy
停留所,ていりゅうじょ,Bus stop,GHhPqoHoUOEF1Ao3u3Yf
住宅,じゅうたく,Housing,GIlf4oEaV984IBhELxx7
言語,げんご,Language,GJdqJIm2IN5U8MqxnHbM
像,ぞう,"Statue, image",GJuvcAyuzeC3xoeBQVxD
信じる,しんじる,believe,GKlZiV7P6wyJkf8p65S8
生物,せいぶつ,"Living thing, organism",GLC7QaWcJjzHQUkBEo3S
精神,せいしん,"mind, soul, spirit",GMl79Zs7ARmY0mwBfZsh
連続,れんぞく,"consecutive, continuity, continuing",GTLZ65ZDfhoH0hepidEU
製品,せいひん,Product,GTpkGkMthEDtRIREFbdl
ぐっすり,ぐっすり,"Sound asleep, fast asleep",GVzqjMIYILuvYMbyMtDI
向かい,むかい,Opposite,GWcYH4k7hiIFDwkBk4nK
表現,ひょうげん,Expression,GWusdCtBizoLxXXqkBJm
酸性,さんせい,Acidity,GY6oXdgwZGjI96E8hGKa
日本,にほん,Japan,GaCNloibLBsV7TTdTj8H
費用,ひよう,"Cost, expense",Gaqlrw9b1vKP3R6vcNnL
方法,ほうほう,"Method, Means, Technique",GbEsNutmSskzziHxxrmz
移動,いどう,"Movement, migration",GbbfYLxW3QNnoROoKaEV
まさに,まさに,"Exactly, surely",GdK1zGx3xphyti8jlX3J
帰宅,きたく,Return home,GkBHrQKoOnxxhfwFmONl
絶対,ぜったい,"absolutely, definitely",Gl4hWXDvcTape8E4sH8j
アップ,アップ,Up,GnsMuqAYhnZhagG7AjHv
乗客,じょうきゃく,passenger,GsBHxEeslAAflthhlpgi
州,しゅう,"state, province",GuH34RiqLHr4BcsRsTPv
気味,きみ,"tendency, slight feeling",GuU6PlmzRF3HTEivw0jC
笑顔,えがお,Smile,GxurMYzCHbLIyFwh5KPy
飽きる,あきる,"To get tired of, to lose interest in",GzdgEY5yCk7JD0YWg54P
精算,せいさん,"Settlement, adjustment",H0VSII20CK4qU19AGdPF
弱める,よわめる,weaken,H0lEBkmnJZZzihg2KDbk
延びる,のびる,Prolonged,H4OvCzB3VMS3DOvB5BIB
頼る,たよる,"rely on, have recourse to, depend on",H5oys7BOC1kXd1PCNpMQ
審判,しんぱん,"Umpire, referee, judgment",H6MIh21dVACVMw3xgg2i
原,はら,"Field, plain",H87y2fbMsAE2VjGavMbO
死亡,しぼう,Death,H9vM8Pw3ytcEuAnexfVo
境,さかい,"Border, boundary, mental state",HD3kX0smLJn2SRV063NS
頭痛,ずつう,Headache,HDFIR8JJq0WL3CUtwWcr
思い出,おもいで,"memories, recollections, reminiscence",HDWIOPs8FfiTw3Pr00IF
例外,れいがい,exception,HGHAUYC25pd0vCBJ0kIm
努力,どりょく,"effort, exertion, endeavor",HGmTH6qFphlJGLCq9dDz
決心,けっしん,"determination, resolution",HHVFfkPeFUdQdSjtL9LI
まぶしい,まぶしい,"dazzling, radiant",HIY6IIV2UHQQZClM49y6
ですから,ですから,Therefore,HKVpRcbI3rx7ZagYw1Vy
慣行,かんこう,"Customary practice, habit, traditional event",HL81WwxcdUGwpl9Qcmvx
楽器,がっき,musical instrument,HLNquF749ujc7uDB8LVz
届く,とどく,reach,HLpvgM7lvk2Nrg0n3dLh
股,もも,"thigh, crotch",HMBIV597ls0GHwLC1our
碁,ご,Go,HX3fXHFCERVljfSa2Q1X
思想,しそう,"Thought, Idea",HX6bPfhijTWay6F9K2Yt
ダウン,ダウン,Down,HXVsGVdNnkoGajiUuM3c
劇,げき,"Drama, Play",HZOYXfKFU3iwQVF3Zcez
ベンチ,ベンチ,bench,Hg9VLMNhWuHopFRR2Izg
謎,なぞ,"Riddle, puzzle, enigma",HjMGpSBWDkD58CqjH8JB
波,なみ,Wave,Hk0axQGhk6Ff3USqbzYW
大使,たいし,Ambassador,HkF39dEDYHhNpORe0f5B
評価,ひょうか,"assessment, evaluation",HoNjTDlCc9nZTLXhtS8B
デート,デート,Date,HrCA4chYQY8evMvp8zAj
とにかく,とにかく,"Anyway, at any rate",HsM0M20BnXrRNX6OW89O
スープ,スープ,Soup,Hse02npgwNpMw3nLgjFS
無視,むし,"Disregard, ignore",HyK0enNoR0wDQLcBk2xH
因る,よる,result from,HzUTywhrLLxBnKFWYGQi
超える,こえる,"Exceed, cross over",I0K0PnuulwVmNuwezDKc
転校,てんこう,Transfer schools,I1maQlQPzNk0TyCxD7SD
メンバー,メンバー,Member,I4lUZM3WUllr1Hznovov
願う,ねがう,"wish, desire, request",I7274Hm4eswhWzDFyLaP
単語,たんご,Word,I8AAqaWLF1cZgUbjbnCj
殴る,なぐる,punch,I8AbnvmI4z6dfTCR9DK5
はさみ,はさみ,scissors,I9NGG3xwgjp1eNn8sEKI
豊か,ゆたか,"Abundant, wealthy, plentiful, rich",I9vWdEHt1ruXU2FTzUjH
出合い,であい,Encounter,IDr2EvjHIlUpy3do3sES
涙,なみだ,Tear,IE5xPCG5AKtceQb2UzY3
輝く,かがやく,"Shine, glitter, sparkle",IFQgoUpDyGoRWTaR8ylA
年寄,としより,The elderly,IJxwNbjs9uxASVYMHEmF
正,せい,"True, regular",INcff118krGMEr1Pkc2J
郡,ぐん,District,IRAittSlffEjz6ufyKzM
噂,うわさ,"Rumor, gossip",IS04DQKtzQ4YbPRDASxp
見当,けんとう,"Estimate, guess",IYLBWwNGSIZK2RHAvbsr
幸運,こううん,"Good luck, fortune",IZ1F4pxBmYGphsNhtiLW
旅,たび,"Travel, trip, journey",IZ7WEC985a6USweJwhuh
煮る,にる,"boil, cook",Icho7YMIukV6tUuZ8jBg
何か,なにか,something,Icrti1W0hOBaC0hYVhlJ
冷静,れいせい,"Calm, coolness",IdZlQfT4YtOUIIFTljeZ
渋滞,じゅうたい,"Congestion, traffic jam",IgA4vEOZHIY7S3qNKVXY
霜,しも,Frost,IhOgY59NqYqW5Kr8w5lJ
大部分,だいぶぶん,"Most part, majority",Ijo2jx3m6qC4ZgBxuTyy
知能,ちのう,Intelligence,Iksi6pT2iHPkSmQIuULy
環境,かんきょう,"environment, circumstance",Il3sBxX8gQxI2e1UZYIu
完了,かんりょう,"Completion, conclusion",InB94oIibR1mQLhNCcwb
ところが,ところが,"However, nevertheless, yet",InmEc4DavlZT2RxryHvl
引越し,ひっこし,Moving,Io5Gj0wxnqqxOHzfXLhq
名人,めいじん,"Master, expert",Io9JrQfVdz0ukEuHLi3A
お目に掛かる,おめにかかる,Meet (a person),IoLUPjPQhcytysUIX4GQ
それでも,それでも,"Nevertheless, and yet",IpQtj7kf4LGsLeMg1Fj8
提案,ていあん,"Proposal, proposition, suggestion",IsMVRTTpLZHOvU4dntmC
ボール,ボール,"Ball, Bowl",Iv1PU1mWrY76jfcbr6AO
外れる,はずれる,"Disconnect, come off",Ix7a9KS4Ru61ghGjLxsy
次ぐ,つぐ,Follow next to,IxViEgoM1Qz4meN6Ic9q
作品,さくひん,"Work, opus, production",IyB1seIZ7mElgXAL97nd
可,か,Passable,IyfHOlibafIL2LjMOQ9f
冷やす,ひやす,"Cool, refrigerate",IzThs1DMHRvqLIwWFsVb
退学,たいがく,Dropping out of school,IzoAU5RNWuyW42MEWT4N
治める,おさめる,"govern, manage; subdue",J2QL8u2kjQ8Hb168UBHg
許す,ゆるす,"Permit, allow, approve",J2mId7dSm1pds8IcUuHw
しまった (かん),しまった (かん),Damn it!,J2zjPoT9ZhHAKmqnXipM
基,もと,Basis,J47JqZUD2rwRogSZJPgk
記事,きじ,Article,J4p3z9Kft33BjJl6nwsa
包装,ほうそう,"packing, wrapping",J5HcpwKy8WAK1gEjZszw
湾,わん,Bay,J62Q5Fao3DE4JKXrYHgr
小屋,こや,"Hut, cabin, or shed",J6OuGSOInuLRaqtp6eTD
天候,てんこう,Weather,J8NmhCYgTvar3NKNDlql
刺激,しげき,"stimulus, impetus, incentive",J9O0zkkcTdqcrNx1N7jH
下,げ,"Under, below, beneath",JAHCOUJZ1yTbqI4oNhCE
閉じる,とじる,Close,JDYtCV0BWbSnMia4H0Bj
愛,あい,Love,JDkkWnS2LP58RmH8iFMx
備える,そなえる,"Prepare, furnish, store",JFwG560AUNhCMrtI8A8c
微笑む,ほほえむ,Smile,JHgwEh8hTdC6ZURx8B5o
文字,もじ,Letter / Character,JJgF2FM9qvdlkQOQ4kbJ
沖,おき,Open sea,JMJrPFkk46dbYG81kIxb
タイプライター,タイプライター,Typewriter,JMLdsrR8js6e0jeoNAEy
相手,あいて,"Partner, addressee",JNEFLGu6guLNSbyJcbzT
資本,しほん,Capital,JNLVrmiOBXCYlHErAGSv
言わば,いわば,So to speak,JNwfhigRnwJUjzKX5hbW
サービス,サービス,Service,JO6LVj3HbQW3mcM7qXUH
助ける,たすける,"help, save, rescue",JOmrJAY5isZssaDSL2Z1
主に,おもに,"mainly, primarily",JSGTDBCU4nRktnVwCbNQ
トラック,トラック,"Truck, track",JcSgTTgCEUw1JQrJXzmo
缶,かん,Can,JcbYp9ZDZIs069Kw25yJ
カード,カード,Card,JeojxUq4Bfm6PUVqUYpT
過程,かてい,process,JeyJ7fBzoiPZV4baYKVj
感謝,かんしゃ,"Gratitude, thanks",JfrFOW6J3HnSIZObrWAG
記録,きろく,record,JnEvBoTBK1hMkXkK74qp
体育,たいいく,Physical Education,JnXQcIp30nzefNNukoVz
時期,じき,"Time, season, period",Jojf2LCcDCioiYuNX1fp
無駄,むだ,"Futility, uselessness",Jqe1NfJg0XEfZcOzuBZz
トランプ,トランプ,Playing cards,JsC3p19FUSrUUd1HMM6V
攻める,せめる,"Attack, assault",JsiugIhzXIz5xhctZuMc
価値,かち,"Value, worth, merit",JtDMjQUS52ZJQ87m9mHn
間,ま,"Space, interval",Jv3YD7rlj94PPScvbuqE
傷,きず,"Wound, injury, hurt",JyPKdwS9DJlllGWl3p3X
サイン,サイン,"autograph, sign, sine",Jz7kO0oSA0RtkAbeh6mc
嫌う,きらう,"hate, dislike, loathe",K02yUWxfKR5VTyQS9IBj
輪,わ,"Ring, hoop, circle",K1bkaAk8b2t9NCjavPsC
罹る,かかる,suffer from,K1c036QBNkx1nj03KABr
至急,しきゅう,"Urgent, pressing",K1j8JJ9iowdPsTggMmdr
溺れる,おぼれる,"drown, indulge",K1rSkBSgOaCZYUoi8WQ9
条件,じょうけん,"conditions, terms",K1s1uRkbPuFcTXTKaI6j
しきりに,しきりに,"frequently, repeatedly, eagerly",K3B31MwuAH163R1rLR6q
例え,たとえ,Example; even though,K3t1Y35ppxNcCSVSnm9u
手伝い,てつだい,"Help, Assistant",K46vTMJiUBdpssxjrQzS
児童,じどう,"Children, juvenile",K5SVHqOcSlXX4y9sb7m9
故郷,ふるさと,Hometown,K8UrgYEOGEI68yuXNUwX
穏やか,おだやか,"calm, gentle, quiet",K8WpXnOyjK6SBiaWlLTz
機嫌,きげん,"Mood, temper, humor",KDtMZQtbjKdexzVxZegZ
唯,たった,"Mere, sole, plain",KGiLC7SsmUKNdzuGXf6H
枠,わく,Frame,KGiP9UBuDWxWQqBRS46V
だって,だって,"Because, but, even",KGvRf2dBtSKm8EImT86W
より,より,"Twist, ply",KH2jYeQ1Vz2GIh4Cd6TJ
品,ひん,"Item, article, goods",KHzSgu1cMvUgIljhJljh
当てる,あてる,"Hit, apply",KIeimVxOQIISL9sYG4cF
濠,ほり,Moat,KKS9sWylacOlHv8lDWXs
たっぷり,たっぷり,"Ample, plentiful",KL1OdJ9hdTizxpFXmOhJ
救助,きゅうじょ,"Rescue, relief, aid",KPiD2UjWAukEUISzaBYv
故人,こじん,the deceased,KQ1rMPXgY9nOrzlfz6ha
逆,ぎゃく,"Reverse, opposite",KSgctVkOh3sKzV3guUbl
信仰,しんこう,"Faith, belief",KTBRvMfgfKvY8M7b04LZ
不自由,ふじゆう,"Inconvenience, disability, discomfort",KTZeqUx2Q2KHVAZvrLNS
工場,こうば,factory,KToF9K2wIWtRwmDxbxc8
具体,ぐたい,Concrete,KV7PEes2lIAa3XGrGkIM
管理,かんり,"management, control",KVYKDewF1uh2erQdnGGw
心理,しんり,mentality,KaAX7wo791qcp3lNO1dR
人類,じんるい,"Mankind, humanity",KgdumLBszwd4qFlyrwXB
訳,やく,"Reason, explanation",KhQ4e8R98wsVK35mUP70
目上,めうえ,"Superior, senior",Km7XybJAjvU4P8WuClNt
首都,しゅと,Capital city,KqKrXY8XQzobpwTCFq4y
息,いき,breath,KrQGisSTGxc0BsgSw7WR
大陸,たいりく,continent,KtTGXux9m1z96ApGhKny
首相,しゅしょう,Prime Minister,KurpV9dRyrJNi6ql3Oa1
健康,けんこう,Health,KwPXB7H1GByqSXD6fjif
すみません (かん),すみません (かん),"Excuse me, sorry",Kx81awNkxwoUqZFKR8GH
組合,くみあい,"Association, Union",KxFS1fdwc12hriuANSlE
戦う,たたかう,"fight, compete, battle",L3Ht2OVY9xpiD8XxtXYe
すてき,すてき,"lovely, great",L3aERcHpdZ3IbsRhHl1s
茹でる,ゆでる,Boil,L4qyw60uuQCfU0LCPdSY
関心,かんしん,"concern, interest",L64N0ybUfMoekeJRldya
存在,そんざい,Existence,LApwjFnIcocUfAcQfFHv
離す,はなす,Separate,LBJDgBqxl2JX601djXZX
実際,じっさい,In fact; in actuality,LDxiMX7dpd3Gcer64G6b
利益,りえき,"profits, gains",LFYDIdg05mp6rnW7UBWg
王子,おうじ,Prince,LGnG0zYDCYJD0jsM46sh
望む,のぞむ,"desire, wish for; view",LHGbiLJuxx87SL4GgIm1
一時,いちじ,temporarily,LIcIZKCdhAcdYEXwZiRY
部分,ぶぶん,"portion, section, part",LJw98Mu9BI57jJw69f9h
疑問,ぎもん,"Question, problem, doubt",LLzoBPR3uB42RNUEZYSD
秒,びょう,second,LNeRA3uy1DnMZDHYiVJd
投票,とうひょう,"Voting, poll",LOApTT0cQXT8WWh01Vko
為る,なる,"do, attempt",LQ8YL5cL0NieLCVS8721
厄介,やっかい,"Trouble, burden, care",LQxNzdwWpD2SJTfuFmLr
済ませる,すませる,Finish,LTzjoQKhy1XLKzQ62w3D
税,ぜい,Tax,LVZriGrHMt0kU8VDnePw
期待,きたい,"Expectation, anticipation, hope",LYGDgkoB1v7xR7kgbgdB
産む,うむ,"Give birth, deliver, produce",LZbVGWB8PSz4DgJ15Kqk
